key,1
#,
offset,4
int32,str
0,托納特尼亞附近的埃倫維爾，似乎在觀察情況。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,在指定地點使用特製香囊
25,和埃倫維爾對話
26,和德科瓦對話
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,……那麼，馬上開始行動吧。
49,我會繼續監視他們，<hex:02100103>潛入的任務就交給你了。
50,到托納特尼亞中央的篝火附近，<hex:02100103>把這個「特製的氣味袋」丟進去。<hex:02100103>拜託了。
51,這是什麼味道……。
52,噁，真臭啊！？
53,喂，你燒了什麼東西！？
54,我不知道啊！
55,你們這群臭鬼！
56,吵死了，發生什麼事了！？
57,老、老大……那個……！
58,……嗯？
59,那、那、那是什麼啊啊啊啊！？
60,啊啊啊！
61,快逃啊！！
62,嘖，那煙霧讓它們興奮了……！<hex:02100103>到底是誰搞的鬼……！
63,引導得很成功。<hex:02100103>接下來趁混亂從他那裡取回手鐲……
64,(-德科瓦的聲音-)喂！有人嗎！？
65,(-德科瓦的聲音-)誰來告訴我發生了什麼事！<hex:02100103>我還在裡面呢！
66,等著，稍後來救你。
67,(-德科瓦的聲音-)什麼，稍後是什麼時候！現在就救我啊！<hex:02100103>被丟下的話我會被殺的！
68,(-德科瓦的聲音-)拜-託-了-！！
69,喂，安靜點……！
70,嘖……我記住你的臉了。
71,(-德科瓦的聲音-)……呃，這是怎麼回事？<hex:02100103>快救救我，拜託了！
72,沒辦法……。<hex:02100103>先帶這傢伙離開這裡。
73,真是的……。<hex:02100103>雖然成功脫身，但計劃全毀了。
74,真是……對不起……！<hex:02100103>我完全不知道你們在對付禿鷹，<hex:02100103>完全沒想到啊……！
75,……不用道歉。<hex:02100103>我們也有考慮到要救你。
76,真的嗎！？<hex:02100103>雖然不知道你是誰……難道你是德科瓦大人的粉絲？
77,算了，不管是誰！<hex:02100103>真的感謝你救了我！
78,比起這個，你們叫禿鷹的那個人……<hex:02100103>被野盜們稱為「老大」的那個人，我認得他的臉。
79,那傢伙……不是在弗薩泰宿場町，<hex:02100103>和你爭吵的那個人嗎？
80,對，就是他……。<hex:02100103>有時候被稱為「禿鷹」的惡棍，<hex:02100103>有時候是自警隊的副隊長「威夫特」。
81,在自警隊裡混入了無法者的首領……。<hex:02100103>這竟然是真的……。
82,那個……作為報答，讓我也幫忙吧？<hex:02100103>你們是想取回禿鷹手上的贓物吧？
83,那個老傢伙藏贓物的地方，我知道。<hex:02100103>他現在肯定也往那裡去了！
84,所以……讓我加入你們吧。<hex:02100103>我一定要和他了結這一切……！
85,……我還不完全信任你。<hex:02100103>如果有什麼理由，說出來吧。
86,在托納特尼亞的那些人……<hex:02100103>「荒野的夜明團」是我和朋友創立的組織。
87,當然，不是什麼野盜組織。
88,是為了保護孩子和貧困者等弱勢勞工，<hex:02100103>免受惡劣採礦業者的欺壓而成立的正義組織！
89,三年前……<hex:02100103>我和兩個朋友創立了「荒野的夜明團」。<hex:02100103>然後，我們一直在暗中懲治那些惡棍！
90,我們擅長的……就是「決鬥」！
91,原來如此，當發生糾紛時通過決鬥來解決……<hex:02100103>有了這個「荒野的規矩」，只要在決鬥中勝利，<hex:02100103>即使面對成年惡棍也能貫徹自己的意志。
92,是啊，隨著我們的活動，<hex:02100103>無依無靠的人開始聚集到我們這裡，<hex:02100103>「荒野的夜明團」也逐漸壯大。
93,但是……一年前禿鷹帶著手下來了，<hex:02100103>大家都被打得落花流水……組織被他奪走了。
94,從那時起，大家因為害怕禿鷹而服從他。<hex:02100103>當然也有些人被他所謂的輕鬆賺錢所吸引。
95,現在的「荒野的夜明團」已經變成了最低劣的野盜集團……。<hex:02100103>他們從應該保護的弱者那裡搶奪財物，<hex:02100103>然後大笑著。
96,所以，我們三個人決定使用最後的手段。<hex:02100103>向禿鷹挑戰「決鬥」。
97,他大言不慚地接受了挑戰。<hex:02100103>但是……
98,決鬥當天，禿鷹以自警隊副隊長的身份出現，<hex:02100103>逮捕了奎卡納和利維內，<hex:02100103>誣陷他們犯下了搶劫罪。
99,更過分的是，那老傢伙威脅我們，<hex:02100103>如果想讓同伴出獄，就得準備一筆天價贖金！
100,我最信任的兩個朋友被關在牢裡……<hex:02100103>過去的同伴和自警隊都無法依靠，<hex:02100103>我不知道該怎麼辦……
101,所以，你才決定去直接談判。
102,是啊，我被他輕視後非常憤怒！<hex:02100103>正準備開槍時，被一個奇怪的槍使老頭阻止了。
103,然後在離開弗薩泰宿場町時，<hex:02100103>被禿鷹的手下偷襲抓住了。<hex:02100103>……大概就是這樣。
104,……原來如此。<hex:02100103>自警隊全員都是他的同夥嗎？
105,不，不是的。<hex:02100103>只有禿鷹和他的親信而已。
106,克馬卡隊長的正義感是真的。<hex:02100103>只是他太遲鈍了，所以被騙得團團轉。
107,即使向自警隊告密，<hex:02100103>他們也只會相信副隊長的話，<hex:02100103>而不會聽信我這個被視為壞小子的話。
108,我們的目的是取回納米卡女士的手鐲。<hex:02100103>如果他真的知道藏匿贓物的地方，那他還是有用的……<hex:02100103>你覺得怎麼樣？
109,拜託了，我也有自己的計劃！<hex:02100103>但我一個人無法實現……！
110,計劃？
111,是的……！<hex:02100103>請到「謝謝內青燐泉」的入口來！<hex:02100103>聽完我的計劃再做決定！
112,……先聽聽他的計劃吧。
113,真是……謝謝你！<hex:02100103>雖然時機不太好……但有什麼問題嗎？
114,為什麼來到謝謝內青燐泉？
115,因為這個鎮子就是藏匿贓物的地方……！<hex:02100103>看著吧，他很快就會出現。
116,雖然按他的話來到了這裡……<hex:02100103>但如果被自警隊發現我們帶著他，那就糟了。
