key,1
#,
offset,4
int32,str
0,烏克拉瑪特在沃爾科．佐莫前，仰望著山頂。
1,在沃爾科．佐莫前，以沃波羅為首的奇瓦古鹽田的約卡菲族出現，瞄準了烏克拉瑪特。當烏克拉瑪特試圖對話時，怪鳥出現並襲擊了約卡菲族。烏克拉瑪特突然保護了約卡菲族，這讓沃波羅感到疑惑，問他這是什麼意思。烏克拉瑪特直率地回答說，因為我想喜歡你們。為了見到連王的繼承者祭司長古弗魯，和夥伴們一起目標是「沃爾科．佐莫」的山頂。<hex:02100103><hex:02100103>※通過和進入點附近的同伴對話並選擇“編成小隊”，或選擇快捷指令裡的“劇情輔助器”，可以和非玩家同伴一同進入副本。※和玩家一同進入時請透過任務搜尋器參加。
2,在沃爾科．佐莫的山頂，向祭司長古弗魯展示了力量。接受超越「墓之試煉」的證明。
3,在超越「墓之試煉」並獲得秘石後，古弗魯帶我們參觀了格魯賈賈等人的生前墓。烏克拉瑪特看到墓碑上的文字，對自己的和平方式感到困惑，但在冒險者的話語激勵下，決定以自己的方式守護和平。這時，阿爾菲諾通過通訊貝告知，瓦利加爾曼達的封印已經解開。與在奧爾科．帕查的沃拉的殘響中的「阿爾菲諾」對話。
4,回到沃拉的殘響時，發現約卡菲族倒下了。準備好後，開始進行救治。
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,攻略「山嶺登頂沃爾科．佐莫」
25,攻略「山嶺登頂沃爾科．佐莫」
26,和阿爾菲諾對話
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,這就是沃爾科．佐莫……<hex:02100103>近看真是壯觀，高度讓人感到壓迫。
49,這次我無法給你們指引。<hex:02100103>關於秘境沃爾科．佐莫的文獻，<hex:02100103>在特拉約拉幾乎不存在。
50,我已經對烏克拉瑪特施了簡單的治療魔法。<hex:02100103>這麼艱難的山路，<hex:02100103>她的腿腳已經到了極限。
51,在前往山頂的路上，<hex:02100103>可能會遇到巴庫賈賈他們。<hex:02100103>到時候，我們要在科扎馬爾．卡還他們一個人情！
52,作為一族的悲願，<hex:02100103>本應奪取特拉約拉公主的性命，<hex:02100103>卻反而被救，真是失策……
53,在還清這個人情之前，<hex:02100103>我不會對你們的同伴出手。
54,他的治療就交給我吧。<hex:02100103>「墓之試煉」就拜託大家了。
55,你應該知道，我不能戰鬥。<hex:02100103>我會盡量不妨礙你們，跟在後方。
56,要做什麼？
57,交談
58,編成小隊
59,取消
60,等著吧，古弗魯！
61,剛才的鳥類魔物，<hex:02100103>可能把這座山當作自己的領地。<hex:02100103>要小心。
62,在伊夫伊卡．圖姆時我是埃倫維爾的護衛，<hex:02100103>這次我會全力以赴！
63,堅持住！<hex:02100103>治療者馬上就來了！！
64,沒事了。<hex:02100103>我已經施了治療魔法，休息一下就能站起來了。
65,這是薩雷安製的藥水。<hex:02100103>慢慢喝下去。
66,沒問題，不是致命的傷。<hex:02100103>但如果勉強行動，傷口會裂開，<hex:02100103>所以盡量不要動。
67,根據于里昂熱的說法，沃拉的殘響一帶，<hex:02100103>漂浮著強烈的火屬性以太。<hex:02100103>這裡到底發生了什麼……？
68,許多約卡菲族都受了燒傷，<hex:02100103>但由於石造建築較多，沒有引發火災。<hex:02100103>這算是不幸中的萬幸……
69,瓦利加爾曼達的封印解開讓人擔憂，<hex:02100103>但現在最重要的是治療傷者。
70,你也回來了。
71,我很想解釋這個情況，<hex:02100103>但當我感受到急劇的以太波動回來時，<hex:02100103>約卡菲族已經倒下了。
72,現在大家正在分頭治療約卡菲族。<hex:02100103>你剛從沃爾科．佐莫回來，應該很累，<hex:02100103>但準備好後，也請幫忙。
73,可以與非玩家同伴的幻體一同攻略「山嶺登頂沃爾科．佐莫」了！<hex:02100103>透過任務情報的「親信戰友」即可發起挑戰。
