key,1
#,
offset,4
int32,str
0,舊亞歷山大城下鎮的奧蒂斯看起來很滿意。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,和烏克拉瑪特對話
25,和塔普對話
26,和奧蒂斯對話
27,和烏克拉瑪特對話
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,卡夫基瓦他們的事，還是得直接問問才知道。<hex:02100103>假如他們知道卻故意隱瞞，那我也想知道原因……
49,本應有很多永久人……<hex:02100103>他們到底在哪裡，以什麼方式存在呢……
50,大家的表情都變得嚴肅了……
51,嗯，雖然氣氛有點奇怪，<hex:02100103>但這真是一頓愉快的餐點！
52,啊，謝謝你。<hex:02100103>要接受永久人的事實，可能還需要一點時間，<hex:02100103>但燉菜很好吃，和你們一起吃飯也很開心！
53,最重要的是……能和格魯賈聊聊真是太好了。<hex:02100103>我真的很喜歡你！
54,……哇……哇！
55,哈哈哈！<hex:02100103>真是太好了，格魯賈！
56,那麼……你們要回到埃巴基普了吧？<hex:02100103>我也送你們一程！
57,……關於斯恩菲的事。
58,她是永久人，還是活著或死去，<hex:02100103>這些其實都無所謂……
59,斯恩菲是個好人，<hex:02100103>這點在一路同行中已經很清楚了。
60,但是……<hex:02100103>我擔心的是，她到底在隱瞞什麼……
61,佐拉賈面前，她肯定有不能說的事。<hex:02100103>關於永久人的事她也一字未提……<hex:02100103>這對她來說是什麼樣的存在呢……？
62,……抱歉，留你們這麼久。<hex:02100103>只是覺得你應該聽聽我的心情。
63,對了，回去的路上，順便去漂流之地一趟吧？<hex:02100103>我想告訴塔普格魯賈找到了！
64,不過話說回來，真好吃啊……<hex:02100103>拳頭薯燉菜……
65,那聲音是……<hex:02100103>格魯賈找到了嗎？
66,啊，多虧了塔普告訴我們！<hex:02100103>為了不讓你們擔心，我來報告一下。
67,那太好了……我放心了。
68,但是，格魯賈竟然有了迎接他的家人……<hex:02100103>對他來說，這真是件喜事。
69,嘿嘿，是啊。<hex:02100103>是否真正接受成為家人，<hex:02100103>還得看格魯賈的決定。
70,(-？？？？-)咦……？<hex:02100103>你們兩個怎麼在這裡？
71,斯恩菲！？<hex:02100103>你怎麼會在這裡……
72,我只是來和這裡的大家聊聊。<hex:02100103>你們也是嗎？
73,嗯，是這樣的……
74,……斯恩菲，我有話想跟你說。<hex:02100103>我們換個地方聊可以嗎？
75,……嗯，原來如此。<hex:02100103>你們知道了，我是永久人。
76,我活了幾百年，保持這個樣子，<hex:02100103>國內的人也都知道，並沒有隱瞞。
77,但是，「永久人」這個詞是從誰那裡聽來的？<hex:02100103>這應該只有少數人知道……
78,這個嘛……我不能說。
79,真可惜，我並沒有打算對那個人不利。<hex:02100103>只是覺得奇怪而已……
80,喂，告訴我斯恩菲。<hex:02100103>永遠活著的永久人和現在活著的人……<hex:02100103>你想保護的是哪一個？
81,還有，上次……<hex:02100103>你似乎有話要對我們說。<hex:02100103>那和永久人有關嗎？
82,……永久人對我來說也是重要的國民。<hex:02100103>和活著的人一樣，都是重要的家人。
83,但是，永久人需要特殊的環境才能生存。<hex:02100103>現在這環境已經到了極限，雖然勉強維持著，<hex:02100103>但如果死者再增加，會怎麼樣……
84,和我能干涉電繩不同，<hex:02100103>他們無法自由移動，<hex:02100103>要維持生命，需要大量的……能量。
85,……能量？<hex:02100103>雖然不太明白，但我們能做什麼嗎？
86,那麼…………
87,你們願意成為亞歷山大國的國民嗎？
88,啊……啊！？<hex:02100103>這怎麼可能……<hex:02100103>我是誓言保護特來約拉人民的王啊！
89,嗯……也是。
90,叫我們和解，又叫我們回國……<hex:02100103>到底有什麼目的？
91,目的和你一樣……保護人民。
92,要說什麼？
93,能量是什麼？
94,只有佐拉賈能做的事嗎？
95,這是秘密。<hex:02100103>即使你們不知道，也沒關係。<hex:02100103>但是……
96,我真希望能和你們生在同一個國家……
97,喂……這是什麼意思！？<hex:02100103>等等，斯恩菲！
98,可惡，真是搞不懂……
99,……總之，先在埃巴基普前和大家會合吧。<hex:02100103>他們應該等了很久了。
100,剛才見到斯恩菲，<hex:02100103>至少不應該在奧蒂斯面前提起……<hex:02100103>畢竟他幾百年來都沒能見到她。
101,我已經先道歉了，讓他們久等了！
102,不管怎麼說，格魯賈能平安找到真是太好了。<hex:02100103>卡夫基瓦也很擔心，快回去吧！
103,真希望能再和大家一起吃飯……
104,謝謝你們來看我們。<hex:02100103>格魯賈的事，拜託你們了……
105,我們只能相信特來約拉的大家。<hex:02100103>我們就做我們能做的事吧。
106,終於開始行動了……！<hex:02100103>為了保護特來約拉，必須把佐拉賈留在圓頂裡。
107,我有個計劃……！
