key,1
#,
offset,4
int32,str
0,西邊的米拉賈在莫舒克．雷魯努克演舞台，似乎有想帶冒險者們去的地方。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,和烏克拉瑪特對話
25,和阿莉塞對話
26,和烏克拉瑪特對話
27,再次與烏克拉瑪特對話
28,進一步與烏克拉瑪特對話
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,作為父親的女兒，<hex:02100103>我必須了解關於雙頭的事。
49,所謂「創造」雙頭……弗比戈族和布內瓦族，<hex:02100103>這意味著比異部族婚姻更深的東西？
50,我是來自薩卡．特拉爾的，<hex:02100103>對「雙血教義」只是略有耳聞。
51,格魯賈賈殿這樣傑出的存在，<hex:02100103>竟然讓「雙血教義」的信奉者們繼續做夢。<hex:02100103>他本人卻建立了一個跨越部族的國家。
52,巴庫賈賈參加繼承儀式，<hex:02100103>爭奪王位，是為了「雙血教義」……？
53,為了讓你們了解我為什麼要終結「雙血教義」……<hex:02100103>我想帶你們去一個地方。
54,目的地在這條路的西邊盡頭。<hex:02100103>來，跟我來。
55,看那邊，那是這片森林特有的景象。
56,那棵樹……<hex:02100103>是把隕石包裹住了嗎？
57,是的。<hex:02100103>那是曾經從天而降的隕石碎片……<hex:02100103>可能是這片森林中異質以太的根源。
58,雖然我對它對生態系統的影響很感興趣……<hex:02100103>但其他人似乎和米拉賈一起向西走了。<hex:02100103>我們快點跟上，不要被落下。
59,被巨木的枝葉遮擋住，<hex:02100103>連一點點的陽光都透不進來……
60,這裡看起來像是狩獵營地。
61,本來我想向瑪姆加族的獵人詢問他們的生活和傳統……<hex:02100103>但現在還是先聽米拉賈的話吧。
62,大家都繼續向西走了。<hex:02100103>我們也快點追上去吧。
63,讓你們走了這麼多路，真是抱歉。<hex:02100103>但我們快到目的地了。
64,這是個洞穴嗎？<hex:02100103>看起來很深……
65,從來沒聽說過這裡有這樣的洞穴。<hex:02100103>瑪姆克的人似乎不喜歡其他部族來到這片森林，<hex:02100103>所以他們從未提起過……
66,即便如此，瑪姆加族竟然在這麼黑暗的森林中生活……<hex:02100103>大部分人遷移到特拉約拉也就不足為奇了。
67,到底要給我們看什麼呢？
68,你說的想展示的地方，是這個洞穴嗎？
69,確切地說，是穿過這個洞穴的地方。
70,從這裡開始，即使是「雙血教義」的信奉者，<hex:02100103>也不被允許進入的禁地。<hex:02100103>但別擔心，所有責任由我來承擔。
71,我希望你們能了解。<hex:02100103>這些年來被隱藏的雙頭真相……
72,來吧，我們走吧。
73,好……我們安全上來了。<hex:02100103>我想和你單獨談談，<hex:02100103>所以讓其他人先走了。
74,……我真的很討厭巴庫賈賈。
75,因為他一開始就想奪走神輿，<hex:02100103>在河上阻撓我們，搶走了「壺的秘石」……<hex:02100103>最後還解開了瓦里加爾曼達的封印。
76,我曾經想絕對不會原諒他。
77,但當我了解他為什麼戰鬥的心情後，<hex:02100103>我以前的憤怒都消失了。<hex:02100103>真正的「了解」是很重要的。
78,要說什麼？
79,這樣就算了嗎……
80,即使如此，也需要償還
81,是的，我知道。<hex:02100103>他的情況和他犯下的罪行是兩回事。<hex:02100103>關於他的處置，等我登上王位後會好好考慮。
82,但現在……<hex:02100103>為了不再出現像巴庫賈賈這樣的人，<hex:02100103>我會盡我所能。
83,好吧，和你談過後，<hex:02100103>我覺得自己更加堅定了……<hex:02100103>我們回瑪姆克吧！
84,能和任何對手真誠交流，<hex:02100103>這是烏克拉瑪特的強大之處。
85,雙頭的誕生竟然隱藏著如此黑暗的真相。<hex:02100103>或許住在王都的瑪姆加族，<hex:02100103>也不知道這個真相……
86,為了回報兄弟們的生命……<hex:02100103>但巴庫賈賈在這方面選錯了方法。
87,當他意識到自己的錯誤時，能做什麼……<hex:02100103>他未來的行為將決定他的真正價值。<hex:02100103>就像我曾經一樣……
88,這或許太理想化了，<hex:02100103>但如果能原諒對方，攜手前進，那就太好了。<hex:02100103>因為知道這很難，所以更希望如此。
89,巴庫賈賈給我的這片鱗片，<hex:02100103>是被雙頭認可的證明，也是我們結下的羈絆的證明。
90,和這片鱗片一起託付給我的，巴庫賈賈的心願……<hex:02100103>我一定會回應的。
