key,1
#,
offset,4
int32,str
0, 水之終端前的卡夫基瓦正在注視著冒險者們的動向。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24, 和雅斯塔蘭的門衛對話
25, 在星河之鏡收集情報
26, 在指定地點觀察
27, 討伐魔物
28, 和古風的王國騎士對話
29, 和烏克拉瑪特對話
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48, 雖然早有準備，但<hex:02100103>消除永久人……原來是這樣。
49, 這就是記憶之門的本來面貌……
50, …………
51, 這是我決定的路……<hex:02100103>我會繼續前進。
52, 也許這是無可避免的……<hex:02100103>但請不要太沮喪。<hex:02100103>所有責任都在於委託你們的我！
53, 我之前說過，我們永久人只是記憶的殘留。<hex:02100103>你們不需要對消除我們感到內疚。
54, 即便如此……告別還是讓人感到寂寞。
55, 是啊，但我不會停止了解永久人。<hex:02100103>這是我們活著的人的責任……
56, 讓我們振作起來吧。<hex:02100103>我想和永久人們以笑臉相對！
57, 謝謝你……！<hex:02100103>那麼我們就這樣，去下一個區域吧。
58, 下一個地方是東南的雅斯塔蘭。<hex:02100103>回到記憶之門，然後搭乘滑索過去，好嗎？
59, 對了，由於終端中保存的記憶消失，<hex:02100103>大部分永久人應該也消失了……
60, 但也許有些擁有強烈「未緣」的永久人，<hex:02100103>還能保持實體……<hex:02100103>即使在關閉後也會存在一段時間。
61, 如果遇到這樣的永久人，請聽聽他們的話。<hex:02100103>即使只是記憶的殘留，<hex:02100103>那也是他們曾經活過的證明。
62, 每個區域的氛圍似乎會完全不同……<hex:02100103>下一個地方，看起來就很有趣。
63, 像卡夫基瓦這樣跨越區域的永久人很少見。<hex:02100103>也許他們會根據記憶的傾向來決定保存的地點……
64, ……我也不打算停下腳步。<hex:02100103>走吧，<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>。
65, ……好，走吧。<hex:02100103>卡夫基瓦會在雅斯塔蘭與我們會合。
66, 啟動，成功……<hex:02100103>嗶嗶，錯誤，錯誤……<hex:02100103>使用者註冊……確認，完成。
67, 你好，五位乘坐滑索。<hex:02100103>充滿希望的主題樂園，<hex:02100103>雅斯塔蘭，祝你們旅途愉快！
68, 真是厲害……<hex:02100103>這裡也是再現了曾經存在的地方嗎？
69, 是的，這裡模仿了他們的世界進入「雷光大戰」之前……<hex:02100103>還和平時的樣子。
70, 以亞歷山大為首的國家，<hex:02100103>最繁榮輝煌的黃金時代！<hex:02100103>這裡再現了那段最愉快的時光。
71, 哦……！<hex:02100103>這真是一個大型的娛樂設施。
72, 要說什麼？
73, 看起來很有趣！
74, 光是看著就累了……
75, 像金碟遊樂場一樣
76, 像利姆薩．羅敏薩一樣
77, ……同感！<hex:02100103>這裡一定是懷著那樣的願望建造的地方。
78, 嗯，這種熱鬧的地方……<hex:02100103>至少這裡不太擁擠，還算是個安慰。
79, 是啊，確實！<hex:02100103>那裡光是進場就讓人興奮不已。<hex:02100103>這裡也許是懷著同樣的願望建造的。
80, 妖精語中的「夢之園」……<hex:02100103>難道是進入了妖精族的領域……！？
81, 雖然能回來真是太好了，但請小心。<hex:02100103>這樣的地方，尤其容易讓人忘記時間……<hex:02100103>一出來可能已經過了好幾十年。
82, 嗯，這個區域……某種意義上也許是相同的。
83, 這裡「雅斯塔蘭」的終端，在最裡面的城堡，原型亞歷山大的地下。
84, 我會先去那裡等你們，<hex:02100103>請和永久人們好好聊聊。
85, 那麼，再見！
86, 和永久人們對話吧。<hex:02100103>了解他們的想法。
87, 來吧，讓我們前進！<hex:02100103>首先要了解這裡是什麼樣的地方！
88, 像旋轉的星星一樣美麗的裝飾地板。<hex:02100103>曾經的亞歷山大，<hex:02100103>或許能看到這樣的星空……
89, 看起來像是淹沒的舊城區的建築風格，但窗框上嵌著五彩繽紛的彩色玻璃。<hex:02100103>孩子們一定會喜歡。
90, 現在在說奧蒂斯的事！<hex:02100103>你也知道嗎？
91, 雖然有點固執，開不起玩笑，也有點容易生氣，但他非常強大！<hex:02100103>連魔物都能打敗！
92, 如果想見奧蒂斯，<hex:02100103>他可能還在附近和魔物戰鬥呢？
93, 我長大後也要成為像奧蒂斯那樣的王國騎士！<hex:02100103>「保護斯恩菲大人！」
94, 找找孩子們提到的「奧蒂斯」。<hex:02100103>他會不會和在遺產發現地遇到的舊型機械兵有關……
95, 有人正在和魔物戰鬥。<hex:02100103>去幫忙吧。
96, 看來你很有自信！<hex:02100103>我在保護孩子們，<hex:02100103>請幫忙討伐剩下的魔物！
97, 真是讓人驚訝……<hex:02100103>沒想到在這裡遇到奧蒂斯！
98, ……但正如<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>所說，<hex:02100103>我們在遺產發現地遇到的舊型機械兵，<hex:02100103>可能擁有不同的記憶。
99, 說起來，那傢伙在大家吃飯的時候，<hex:02100103>好像也說過類似的話……
100, 總之，我想和這邊的奧蒂斯多聊聊！<hex:02100103>還有些話想告訴他。
