key,1
#,
offset,4
int32,str
0,那麼，我們出發吧。
1,穿越長橋後展開的，是被古老語言稱為「引導之陽」的荒野。
2,強烈的陽光帶來乾渴，這片土地給生物們帶來了嚴酷的考驗。
3,但由於地下埋藏著豐富的水源——<hex:02100103>青燐水，情況發生了改變。
4,支持理王科納的革新派人們，<hex:02100103>在青色火焰的照耀下，奔向豐富的未來。
5,我們也踏上了新的旅程，<hex:02100103>沿著新鋪設的鐵路繼續前行。
6,我的故鄉在這個沙羅尼荒野的更遠處，<hex:02100103>一個叫做亞斯拉尼荒野的地方。
7,雖然會是一段長途旅行，<hex:02100103>但如果使用鐵路，應該不會太辛苦。
8,哼。
9,到車站的路上……<hex:02100103>借用那傢伙吧。
10,嘿……這裡變得像個城鎮了。
11,(-？？？？-)喂！
12,(-？？？？-)等等，老頭！
13,怎麼了，打架嗎……？
14,(-口氣不好的青年-)喂，不要無視我，老混蛋！<hex:02100103>聽我說話！
15,(-被纏著的男人-)真是的……
16,(-被纏著的男人-)好吧，我已經調查清楚了。<hex:02100103>物證也齊全，沒有任何疑點。
17,(-口氣不好的青年-)什麼物證，騙人的壞蛋！<hex:02100103>如果不放了我朋友，你會有麻煩的！
18,(-被纏著的男人-)唉……到底誰是壞蛋啊，德科瓦君。
19,(-被纏著的男人-)你的朋友竟然在鎮上公然對我這個自警隊副隊長拔槍？
20,(-被纏著的男人-)所以我依法逮捕了他，<hex:02100103>結果調查後發現他還有搶劫的罪行！
21,(-被纏著的男人-)不讓他贖罪就放人，怎麼可能？
22,聽說這一帶治安變差，<hex:02100103>所以組織了自警隊……真是危險啊。
23,壞小子德科瓦，怎麼了？<hex:02100103>如果你心情不好，我可以給你喝牛奶哦！
24,喂，威夫特，<hex:02100103>快把這個吵鬧的小鬼趕出去。
25,哈哈哈……
26,嘿嘿嘿……
27,呵呵呵……
28,可惡，把我當小孩看！<hex:02100103>我朋友沒有搶劫！這是冤枉的！
29,嘖……<hex:02100103>我討厭這種無知的小鬼。
30,德科瓦君，如果你想被當作大人對待，就遵守「法」。<hex:02100103>這裡是多部族聚集的沙羅尼荒野，<hex:02100103>只有大家遵守「法」，才能保持和平。
31,那些違法的人被稱為壞蛋，<hex:02100103>而我們自警隊就是為了打擊壞蛋而成立的。
32,用你那小腦袋好好想想。<hex:02100103>還是說你……
33,真的打算把我當敵人？
34,如果你這麼想……那就只能這樣了……
35,(-？？？？-)喂，小鬼。
36,那個人是……
37,別這樣，別錯過了退場的時機。
38,……你說什麼？
39,(-有鬍子的男人-)喂！
40,(-有鬍子的男人-)德科瓦，在這裡幹什麼！？<hex:02100103>不要惹事！
41,可惡！<hex:02100103>記住了，羅內克，你這個爛人！
42,(-有鬍子的男人-)威夫特，發生了什麼事？
43,沒什麼，克馬卡隊長。<hex:02100103>德科瓦又來要求釋放他的朋友。
44,我會和部下們密切關注他的動向，<hex:02100103>請放心。
45,是嗎，辛苦了！
46,那麼，我去巡邏了。<hex:02100103>稍後再見……
47,你們也來了啊。
48,聽說王位更替了，<hex:02100103>找到了所謂的黃金鄉之門嗎？
49,我是這裡的人。<hex:02100103>回鄉報告的同時，<hex:02100103>順便帶人參觀薩卡·特拉爾。
50,你呢？
51,只是隨便看看。<hex:02100103>這次旅行沒有特定的目的。
52,要說什麼？
53,還是那麼自由
54,真像埃斯蒂尼安
55,從格魯賈賈那裡<hex:02100103>得到了豐厚的報酬。<hex:02100103>暫時不用擔心路費。
56,那麼，我走了。
57,啊，對了……這裡的仙人掌很好吃。<hex:02100103>雖然外觀有點奇特，但你可以試試。
58,野生的仙人掌……？
59,來了，威夫特副隊長！
60,哎呀，這不是壞蛋德科瓦嗎。
61,聽說你也開始搶劫了。<hex:02100103>還特地來自投羅網！
62,不，該被抓的是你！
63,喲。
64,那個飾品，是我的！
65,那是我的包！
66,……找到贓物了，幹得好。
67,這是在謝謝內青燐泉找到的。<hex:02100103>是要送到特來約拉的桶之一。
68,如果混在青燐水的定期運輸中，<hex:02100103>即使是勇連隊的檢查也不會發現。<hex:02100103>你們打算這樣運出贓物，然後變賣吧。
69,什麼……！？<hex:02100103>到底是誰幹的……！？
70,誰幹的……<hex:02100103>這次事件的幕後黑手，也就是強盜的頭目，<hex:02100103>從手下那裡收到了某件物品。
71,那是武王烏克拉瑪特<hex:02100103>送給乳母納米卡的手鐲。
72,什麼，烏克拉瑪特大人的……！？
73,怎麼，心虛了嗎？
74,不，不知道……！<hex:02100103>如果知道，早就逮捕了！
75,要說什麼？
76,你應該逮捕你自己吧？
77,我看到你從強盜那裡拿手鐲
78,這是怎麼回事，威夫特？
79,被，被陷害了，隊長……！<hex:02100103>確實我有手鐲，但那是撿到的！
80,對，對……這是陷阱！<hex:02100103>這些強盜想陷害我，因為我這個自警隊副隊長對他們來說是個障礙……
81,作為副隊長，你應該知道這片土地的規矩吧？<hex:02100103>爭端用決鬥解決……
82,這片荒野上的人都知道，<hex:02100103>這是「荒野的規矩」。
83,「荒野的規矩」……？
84,威夫特。<hex:02100103>我向你提出決鬥。
85,如果我贏了，我就是對的。<hex:02100103>如果你贏了，你就是對的……這就是「荒野的規矩」。
86,（★未使用／削除予定★）
87,是的，「荒野的規矩」！
88,好啊，來吧！決鬥！
89,哈，別開玩笑了。<hex:02100103>你以為我會接受這種挑釁？
90,拒絕嗎？<hex:02100103>拒絕「荒野的規矩」，真是個膽小鬼！
91,……好吧，不要後悔。
92,德科瓦，加油！！
93,隊，隊長……不阻止嗎？<hex:02100103>雖然是非致命的橡膠子彈……但這是在鎮上啊……
94,安靜看著就好……
95,嗯……
96,啊！
97,可惡！！
98,……哼。<hex:02100103>太慢了，讓我打個哈欠……禿鷹先生。
99,詳細說說吧。
100,老頭，在鎮上決鬥是我的錯。<hex:02100103>如果這違反了「法」，可以逮捕我。
101,但請放了我朋友。<hex:02100103>他是冤枉的，拜託了……
102,嗯……確實，你拔槍了。
103,但先拔槍的是威夫特。<hex:02100103>你之後開槍是為了自衛……<hex:02100103>這是正當防衛，德科瓦。
104,你的兩個朋友也釋放。
105,老頭……！<hex:02100103>沒想到你還挺講道理！
106,嗯……我也是荒野的人。
107,不過……沒想到<hex:02100103>威夫特竟然掌控了「荒野的黎明團」。
108,威夫特的手下怎麼辦？<hex:02100103>在托納特尼亞還有他們的人……<hex:02100103>也要抓嗎？
109,有證據顯示他們違法的就抓。<hex:02100103>但不能無差別抓人。
110,會密切關注，<hex:02100103>也會給他們回歸正道的機會。
111,德科瓦，你打算怎麼做？
112,哼，我不會改變。
113,以後如果有壞人，<hex:02100103>我會用「荒野的規矩」保護弱者。
114,這是從威夫特那裡拿回來的。<hex:02100103>是武王烏克拉瑪特的禮物吧？
115,是的……<hex:02100103>是他送給重要之人的禮物。
116,那麼，我先走了。<hex:02100103>感謝你們協助逮捕禿鷹！
117,(-鐵道公司的青年-)真是對不起！<hex:02100103>目前還沒有修復的預計時間！
118,真是的，怎麼回事！<hex:02100103>竟然在這裡被困住……
119,(-鐵道公司的青年-)啊！？<hex:02100103>你們也是來抱怨的嗎！？
120,不，我聽說地震影響了鐵路，<hex:02100103>想問什麼時候能修復……<hex:02100103>看來還需要一段時間。
121,(-鐵道公司的青年-)是啊……<hex:02100103>人手完全不夠……
122,(-鐵道公司的青年-)每次地震都要檢查鐵軌，<hex:02100103>而繼承儀式後的大地震，<hex:02100103>損壞了一些枕木……
123,繼承儀式後……？<hex:02100103>奇怪，那時我們應該在特來約拉。
124,雖然城鎮在約卡·特拉爾那邊，<hex:02100103>但如果沙羅尼荒野發生那麼大的地震，<hex:02100103>我們應該會注意到……
125,(-鐵道公司的青年-)那次的震動很奇怪……<hex:02100103>以前也有地震，但這次更像是爆炸？
126,……如果有需要，我可以幫忙。
127,(-鐵道公司的青年-)真的嗎！？
128,你打算怎麼做？<hex:02100103>不想拖累你，我們在這裡解散吧……？
129,(-鐵道公司的青年-)如果能幫忙，真的非常感謝！
130,太好了！謝謝！<hex:02100103>我是仙達，請多指教！
131,我得馬上介紹給社長他們。<hex:02100103>請進，請進！
132,抱歉把你捲進來。
133,他們來了！
134,這些人就是我剛才說的幫手。
135,那位舒巴拉爾族的先生是瓦里卡社長，<hex:02100103>裡面的是我們最好的機械師，尼托維克夫人！
136,這位看起來很嚴肅的是<hex:02100103>和我同期的鐵道技師，達皮亞！
137,真的非常感謝你們的幫助……<hex:02100103>報酬不會少的，拜託了！
138,怎麼了？
139,要說什麼？
140,你也喜歡礦車……？
141,沒什麼。
142,啊，礦車嗎？<hex:02100103>我們用的是最新型的青燐機關車！
143,到車站旁邊的車庫去的話，<hex:02100103>從外面應該能看到列車。
144,……是嗎？<hex:02100103>但你的表情可不像是沒事的樣子。
145,每個人心中都有不想說的事。<hex:02100103>不要刨根問底。
146,那麼，馬上開始吧……<hex:02100103>我希望你們和我一起去採集木材。
147,為了更換損壞的枕木，<hex:02100103>需要符合強度標準的木材。
148,在這附近，帕里約南沃野的木材最合適。<hex:02100103>那裡有一群海扎·阿羅族人，<hex:02100103>我們需要先得到他們的許可。
149,好，走吧！
150,（★未使用／削除予定★）
151,真是壯觀啊。<hex:02100103>納米卡女士應該也在那班列車上。
152,列車要通過了！
153,多虧了你們，我們比預期更快地修復了。<hex:02100103>真的非常感謝！
154,果然還是這個最好！<hex:02100103>青燐機關車真是太棒了！！
155,是啊，青燐機關車每次運行都讓人感到震撼！<hex:02100103>和貨車相比，規模完全不同。
156,只要鋪設了鐵路，列車就能跑到任何地方！<hex:02100103>我們會不斷延伸路線，目標是橫跨大陸，對吧？
157,鐵路的發展還剛剛開始。<hex:02100103>實際上，目前只通到鄰近的亞斯拉尼荒野。
158,我們的技術還在進步中，<hex:02100103>在運營方面也有很多不足之處。<hex:02100103>小問題不斷……
159,所以，我們會不斷改進並延伸鐵路。<hex:02100103>最終目標是從東海岸到西海岸……<hex:02100103>橫跨整個大陸，這是我們的夢想！
160,聊了這麼久。<hex:02100103>剛才的列車應該快到亞斯拉尼荒野了。
161,等它折返回來，就輪到你們了！<hex:02100103>現在準備出發……
162,又地震了！？
163,哎呀，真是夠了……！
164,那是……什麼……！？
165,不會吧！？到底發生了什麼！？
166,乘客們……尼托維克夫人……！？
167,那個方向……我的故鄉也在那裡……
168,嘖……總之先確認情況！
169,那是什麼……！<hex:02100103>它在朝特來約拉飛去！？
170,要說什麼？
171,總之先回特來約拉！
172,追那個像飛空艇的東西！
173,這到底是……。
174,你們來了！<hex:02100103>有一艘從未見過的飛船和一些奇怪的人出現，<hex:02100103>正在襲擊城鎮！
175,現在總之要先救人……！
176,哈！
177,你能站起來嗎？
178,冷靜避難！
179,那些傢伙是什麼！？<hex:02100103>看起來不像人……！
180,在那邊！
181,唔……
182,喔啦！
183,什麼……！？
184,呃！
185,（★未使用／削除予定★）
186,拜託，誰來救救我……！
187,呃！
188,動作還蠻靈活！
189,啊！
190,剛才……你做了什麼……！？
191,(-戰士巴庫賈賈-)喔啦啊！
192,謝謝……！
193,(-戰士巴庫賈賈-)嘎嘎嘎嘎！<hex:02100103>別說這些，快逃！
194,(-戰士巴庫賈賈-)這裡交給我！<hex:02100103>你們快去王宮！
195,(-魔法巴庫賈賈-)很多敵人都朝那邊去了！
196,巴庫賈賈……謝謝你！！
197,哈！
198,(-戰士巴庫賈賈-)這就是我新的生活方式……
199,(-戰士巴庫賈賈-)想被打飛的傢伙，儘管來吧！
200,沒想到，父親還活著。
201,佐拉賈兄長……是你嗎……？
202,那個樣子，到底是……。
203,……這是你的手筆嗎？
204,作為第一王子一直支持父親的你，<hex:02100103>為什麼要做這種事！
205,我們的要求很簡單。<hex:02100103>解散特來約拉聯合王國，割讓所有領土。
206,如果不從，我們將徹底殲滅你們。
207,你瘋了嗎！？
208,我的想法從未改變。
209,讓人們認識到戰爭的愚蠢，培養和平的心願，<hex:02100103>從而統一世界。
210,(-武的格魯賈賈-)那個樣子，那股力量……<hex:02100103>這段時間你到底做了什麼。
211,(-武的格魯賈賈-)你不會說你不知道自己在做什麼吧？<hex:02100103>你把劍指向了特來約拉的人民……！
212,(-武的格魯賈賈-)別以為這樣就能被原諒。<hex:02100103>如果你是我的兒子，更不可能……！
213,那麼你打算怎麼做？
214,(-武的格魯賈賈-)我只有一條路可走。
215,(-武的格魯賈賈-)用武力打倒你。
216,等等，父親！如果是這樣，那就讓我來……！
217,(-武的格魯賈賈-)不需要插手！<hex:02100103>這是我作為父親的責任！
218,確實兄長很強。<hex:02100103>但他從未贏過父親。
219,沒想到有一天能親手討伐你，<hex:02100103>這真是天大的幸運。
220,哼！
221,哈啊！
222,唔
223,嘖……
224,唔！
225,哈！？
226,(-武的格魯賈賈-)佐拉賈……我的兒子。<hex:02100103>再見了……
227,啊……唔……！
228,走開！
229,嗯？！
230,雖然已經老邁，<hex:02100103>但不愧是統一特拉爾大陸的初代聯王。
231,即使一個靈魂消失了，<hex:02100103>但肉體中仍有兩個人的生命力。
232,那麼，我也來增加一點力量吧。
233,父親……？
234,嗚啊……
235,（★未使用／削除予定★）
236,……不過是雙頭，原來如此。
237,父親！！！
238,佐拉賈啊啊啊啊！！
239,呃！
240,像你這種人，連傷我一根毫毛都做不到。
241,你竟敢對特來約拉的人民和父親下手！！<hex:02100103>作為這個國家的武王，絕對不會原諒你！！
242,雖然記憶中你總是膽小怕事，<hex:02100103>但現在看來，這是王者的眼神。
243,那麼，為了讓你明白我們之間的力量差距，<hex:02100103>我給你一個「決鬥」的機會。
